cumulative_distance,route,average_ttime,scenario_name,year,year_scenario,vehicle_type,hour
593.78,Blockhouse Bay Rd NB,0.8560131588085281,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
642.77,Blockhouse Bay Rd NB,0.9228177042630736,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
668.9,Blockhouse Bay Rd NB,0.9601462756916451,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
678.78,Blockhouse Bay Rd NB,0.9746048122770109,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
684.57,Blockhouse Bay Rd NB,0.9835125045847034,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
692.85,Blockhouse Bay Rd NB,0.9965861887952296,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
698.53,Blockhouse Bay Rd NB,1.0055546098478612,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
713.64,Blockhouse Bay Rd NB,1.0294125045847031,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
718.49,Blockhouse Bay Rd NB,1.0368740430462418,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
729.05,Blockhouse Bay Rd NB,1.0531201968923956,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
0,Blockhouse Bay Rd NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
26.69,Blockhouse Bay Rd NB,0.04106153846153846,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
41.35,Blockhouse Bay Rd NB,0.06251519699812383,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
63.74,Blockhouse Bay Rd NB,0.0937570574632401,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
112.38,Blockhouse Bay Rd NB,0.1586103907965734,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
144.26,Blockhouse Bay Rd NB,0.2001929994922256,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
163.12,Blockhouse Bay Rd NB,0.22426959523690648,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
228.65,Blockhouse Bay Rd NB,0.30974350828038477,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
268.73,Blockhouse Bay Rd NB,0.3631835082803848,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
323.86,Blockhouse Bay Rd NB,0.44010908967573364,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
344.24,Blockhouse Bay Rd NB,0.4692233753900193,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
358.13,Blockhouse Bay Rd NB,0.4900583753900193,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
403.48,Blockhouse Bay Rd NB,0.5725129208445647,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
429.01,Blockhouse Bay Rd NB,0.6235729208445647,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
436.91,Blockhouse Bay Rd NB,0.6379365572082012,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
469.85,Blockhouse Bay Rd NB,0.6944051286367725,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
507.39,Blockhouse Bay Rd NB,0.7493417140026263,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
529.19,Blockhouse Bay Rd NB,0.7784083806692929,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
549.57,Blockhouse Bay Rd NB,0.8044254019458886,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
593.78,Blockhouse Bay Rd NB,0.8596879019458885,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
642.77,Blockhouse Bay Rd NB,0.9235879019458886,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
668.9,Blockhouse Bay Rd NB,0.9584279019458887,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
678.78,Blockhouse Bay Rd NB,0.9719006292186159,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
684.57,Blockhouse Bay Rd NB,0.9797960837640705,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
692.85,Blockhouse Bay Rd NB,0.9910869928549796,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
698.53,Blockhouse Bay Rd NB,0.998832447400434,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
713.64,Blockhouse Bay Rd NB,1.0194369928549796,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
718.49,Blockhouse Bay Rd NB,1.026050629218616,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
729.05,Blockhouse Bay Rd NB,1.040785512939546,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
0,Blockhouse Bay Rd NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
26.69,Blockhouse Bay Rd NB,0.0471,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
41.35,Blockhouse Bay Rd NB,0.07024736842105264,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
63.74,Blockhouse Bay Rd NB,0.10469352226720648,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
112.38,Blockhouse Bay Rd NB,0.1795242914979757,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
144.26,Blockhouse Bay Rd NB,0.22986113360323884,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
163.12,Blockhouse Bay Rd NB,0.2596400809716599,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
228.65,Blockhouse Bay Rd NB,0.38647233903617606,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
268.73,Blockhouse Bay Rd NB,0.47896464672848377,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
323.86,Blockhouse Bay Rd NB,0.6227820380328316,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
344.24,Blockhouse Bay Rd NB,0.6680709269217204,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
358.13,Blockhouse Bay Rd NB,0.6968088579562032,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
403.48,Blockhouse Bay Rd NB,0.7975866357339811,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
429.01,Blockhouse Bay Rd NB,0.8469995389597874,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
436.91,Blockhouse Bay Rd NB,0.8609407154303758,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
469.85,Blockhouse Bay Rd NB,0.9174092868589472,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
507.39,Blockhouse Bay Rd NB,0.973719286858947,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
529.19,Blockhouse Bay Rd NB,1.0048621440018044,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
549.57,Blockhouse Bay Rd NB,1.0326530530927134,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
593.78,Blockhouse Bay Rd NB,1.0903182704840177,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
642.77,Blockhouse Bay Rd NB,1.1542182704840178,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
668.9,Blockhouse Bay Rd NB,1.1906787356002968,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
678.78,Blockhouse Bay Rd NB,1.2051372721856626,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
684.57,Blockhouse Bay Rd NB,1.2138222721856629,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
692.85,Blockhouse Bay Rd NB,1.2262422721856627,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
698.53,Blockhouse Bay Rd NB,1.2347622721856626,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
713.64,Blockhouse Bay Rd NB,1.2574272721856625,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
718.49,Blockhouse Bay Rd NB,1.2647022721856627,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
729.05,Blockhouse Bay Rd NB,1.280155930722248,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
0,Morningside NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
61.89,Morningside NB,0.074268,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
109.64,Morningside NB,0.131568,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
168.35,Morningside NB,0.20651693617021274,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
186.08,Morningside NB,0.2296430231267345,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
204.13,Morningside NB,0.25318650138760407,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
224.56,Morningside NB,0.28042650138760405,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
238.55,Morningside NB,0.2986743274745606,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
254.44,Morningside NB,0.31895943385753933,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
276.54,Morningside NB,0.34658443385753934,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
284.16,Morningside NB,0.35610943385753935,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
345.92,Morningside NB,0.4349519870490287,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
408.23,Morningside NB,0.5218961730955403,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
436.97,Morningside NB,0.5629533159526832,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
493.04,Morningside NB,0.6470583159526833,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
504.62,Morningside NB,0.665342526478999,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
516.19,Morningside NB,0.6841046886411613,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
539.32,Morningside NB,0.7237561172125898,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
559.83,Morningside NB,0.7610470263034989,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
564.47,Morningside NB,0.7694833899398624,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
569.11,Morningside NB,0.7779197535762261,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
575.18,Morningside NB,0.7893010035762259,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
601.02,Morningside NB,0.8446724321476545,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
610.49,Morningside NB,0.8649652892905118,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
649.22,Morningside NB,0.9450963237732705,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
0,Morningside NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
61.89,Morningside NB,0.0773625,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
109.64,Morningside NB,0.13705,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
168.35,Morningside NB,0.21362826086956524,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
186.08,Morningside NB,0.23675434782608698,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
204.13,Morningside NB,0.2602978260869565,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
224.56,Morningside NB,0.2869456521739131,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
238.55,Morningside NB,0.3055989855072464,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
254.44,Morningside NB,0.3267856521739131,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
276.54,Morningside NB,0.3556117391304348,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
284.16,Morningside NB,0.3655508695652175,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
345.92,Morningside NB,0.44610739130434784,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
408.23,Morningside NB,0.5351216770186336,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
436.97,Morningside NB,0.5771802136039994,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
493.04,Morningside NB,0.6657117925513679,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
504.62,Morningside NB,0.6855632211227964,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
516.19,Morningside NB,0.70598086818162,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
539.32,Morningside NB,0.7480354136361654,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
559.83,Morningside NB,0.7877321878297139,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
564.47,Morningside NB,0.7973321878297138,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
569.11,Morningside NB,0.8069321878297139,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
575.18,Morningside NB,0.8190721878297136,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
601.02,Morningside NB,0.878702957060483,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
610.49,Morningside NB,0.901430957060483,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
649.22,Morningside NB,0.9908078801374062,obs_15th,2025,2025 obs_15th,All Vehicles,PM3
0,Morningside NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
61.89,Morningside NB,0.074268,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
109.64,Morningside NB,0.131568,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
168.35,Morningside NB,0.20345779591836735,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
186.08,Morningside NB,0.22562029591836735,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
204.13,Morningside NB,0.2486628491098567,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
224.56,Morningside NB,0.27420034910985674,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
238.55,Morningside NB,0.2909883491098567,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
254.44,Morningside NB,0.3100563491098567,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
276.54,Morningside NB,0.3371175735996526,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
284.16,Morningside NB,0.34626157359965265,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
345.92,Morningside NB,0.42346157359965264,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
408.23,Morningside NB,0.5084297554178344,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
436.97,Morningside NB,0.5504882920032003,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
493.04,Morningside NB,0.6345932920032004,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
504.62,Morningside NB,0.6511361491460576,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
516.19,Morningside NB,0.667664720574629,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
539.32,Morningside NB,0.7032493359592443,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
559.83,Morningside NB,0.7374326692925776,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
564.47,Morningside NB,0.7453869550068632,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
569.11,Morningside NB,0.753575190300981,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
575.18,Morningside NB,0.7642869550068632,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
601.02,Morningside NB,0.8127369550068633,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
610.49,Morningside NB,0.8316769550068632,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
649.22,Morningside NB,0.9118079894896219,obs_15th,2025,2025 obs_15th,All Vehicles,AM2
0,Morningside NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
61.89,Morningside NB,0.07281176470588235,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
109.64,Morningside NB,0.13011176470588234,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
168.35,Morningside NB,0.2050607008760951,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
